1/4/2019,Particular,PELLEGRINI 1300
1/4/2019,Particular,CATAMARCA 653
1/4/2019,Particular,ESPAÑA 700
3/4/2019,Particular,JUNIN 1623
3/4/2019,Remisses,SAN JUAN AL 800
3/4/2019,Particular,CATAMARCA 700
3/4/2019,Particular,SAN MARTIN 783
2/4/2019,Transportes de Cargas,SALTA 1100
4/4/2019,Particular,SANTA FE 900
5/4/2019,Taxi,PLACIDO MARTINEZ 1384
5/4/2019,Particular,MENDOZA 700
6/4/2019,Particular,ESPAÑA 703
6/4/2019,Particular,CATAMARCA AL 1000
6/4/2019,Particular,CATAMARCA 1019
6/4/2019,Particular,SAN MARTIN 1000
8/4/2019,Particular,CATAMARCA 400
8/4/2019,Particular,PELLEGRINI 1400
10/4/2019,Transportes de Cargas,AVIADOR CORREA Y SARMIENTO
10/4/2019,Particular,PELLEGRINI AL 400
11/4/2019,Particular,SANTA FE 900
11/4/2019,Particular,SAN LORENZO 888
12/4/2019,Particular,CATAMARCA 431
12/4/2019,Particular,P.MARTINEZ 1200
12/4/2019,Particular,A.GONZALEZ Y SAN JUAN
13/4/2019,Particular,9 DE JULIO AL 1300
13/4/2019,Particular,CATAMARCA AL 900
13/4/2019,Particular,AV ESPAÑA AL 700
14/4/2019,Particular,PLAYON DEL PUERTO
15/4/2019,Particular,CATAMARCA 417
15/4/2019,Particular,SALTA 1300
15/4/2019,Particular,SANTA FE 900
17/4/2019,Particular,SAN MARTIN 1085
18/4/2019,Particular,JUNIN 800
18/4/2019,Particular,SAN MARTIN 1100
18/4/2019,Particular,CATAMARCA 600
18/4/2019,Particular,CORDOBA 714
18/4/2019,Transportes de Cargas,BRASIL 1051
21/4/2019,Particular,MAIPU 2500
22/4/2019,Particular,Catamarca 400
25/4/2019,Particular,san juan 1222
26/4/2019,Particular,MORENO 1178
27/4/2019,Particular,CATAMARCA 615
29/4/2019,Particular,placido martinez 1300
29/4/2019,Particular,CATAMARCA 400
29/4/2019,Remisses,SAN JUAN AL 800
3/5/2019,Particular,MAIPU 2600
2/5/2019,Particular,SARMIENTO Y CORREA FERNANDEZ
5/5/2019,Particular,PLAYON DEL PUERTO
5/5/2019,Particular,GOB. GONZALEZ
5/5/2019,Particular,GOB. GONZALEZ 1600
5/5/2019,Particular,SALTA 700
5/5/2019,Particular,ESPAÑA AL 700
6/5/2019,Particular,España 1183
6/5/2019,Particular,SANTA FE 900
7/5/2019,Particular,AV. 3 DE ABRIL 1200
7/5/2019,Particular,MORENO 1178
7/5/2019,Particular,JUNIN 1630
8/5/2019,Particular,QUINTANA 1100
9/5/2019,Particular,SAN LORENZO 800
9/5/2019,Particular,RIOJA 1071
9/5/2019,Particular,IRIGOYEN 1175
11/5/2019,Particular,9 DE JULIO 1394
12/5/2019,Particular,PUERTO LOCAL
12/5/2019,Particular,PLAYON DEL PUERTO
12/5/2019,Particular,catamarca al 1091
12/5/2019,Particular,Playon del puerto
13/5/2019,Particular,SANTA FE 955
14/5/2019,Particular,PARAGUAY 1172
14/5/2019,Particular,SALTA 1300
14/5/2019,Particular,250 DE MAYO 730
15/5/2019,Particular,9 DE JULIO 1000
15/5/2019,Particular,MORENO 1100
15/5/2019,Particular,SANTA FE 800
16/5/2019,Particular,LAS CUEVAS Y LOS HERNANDES
16/5/2019,Particular,quintana al 700
17/5/2019,Particular,9 DE JULIO 1080
17/5/2019,Particular,A. GONZALEZ Y S. JUAN
18/5/2019,Particular,SAN MARTIN 400
18/5/2019,Taxi,CORDOBA 800
22/5/2019,Particular,SALTA 1300
24/5/2019,Particular,IRIGOYEN 1500
26/5/2019,Particular,PLAYON DEL PUERTO
24/5/2019,Particular,25 DE MAYO 1595
24/5/2019,Particular,25 DE MAYO 1579
27/5/2019,Colectivo,Turin 2800
27/5/2019,Colectivo,Turin 2800
28/5/2019,Particular,san juan al 1300
29/5/2019,Particular,IRIGOYEN 820
29/5/2019,Particular,25 DE MAYO 786
29/5/2019,Particular,25 DE MAYO 786
30/5/2019,Particular,AVENIDA VERA 1000
30/5/2019,Particular,MORENO 1148
31/5/2019,Particular,PLACIDO MARTINEZ 1270
1/6/2019,Particular,MENDOZA 787
3/6/2019,Particular,SALTA 1200
3/6/2019,Particular,RIVADAVIA 800
3/6/2019,Particular,MENDOZA 1000
4/6/2019,Particular,IRIGOYEN 1400
5/6/2019,Particular,SAN MARTÍN 1000
6/6/2019,Particular,9 DE JULIO 1212
6/6/2019,Particular,9 DE JULIO 1394
6/6/2019,Particular,MENDOZA 1100
6/6/2019,Particular,SANTA FE AL 900
6/6/2019,Particular,santa fe  al 900
7/6/2019,Particular,CORDOBA 300
7/6/2019,Particular,SANTA FE 900
7/6/2019,Particular,BUENOS AIRES 628
8/6/2019,Particular,JULIO 1212
9/6/2019,Particular,CATAMARCA 1091
9/6/2019,Particular,PLAYON DEL PUERTO
10/6/2019,Particular,RIVADAVIA 120
10/6/2019,Particular,CÓRDOBA 300
12/6/2019,Particular,SAN LORENZO 1200
12/6/2019,Particular,BUENOS AIRES 500
12/6/2019,Particular,SANTA FE 915
11/6/2019,Particular,PLAYON DEL PUERTO
14/6/2019,Particular,VERA AL 1200
14/6/2019,Particular,AV VERA AL 1200
14/6/2019,Particular,SAN JUAN 1220
15/6/2019,Particular,CATAMARACA 815
15/6/2019,Particular,P. MARTINEZ 900
15/6/2019,Particular,S. MARTIN 1409
15/6/2019,Particular,S. MARTIN 1072
15/6/2019,Particular,MENDOZA 1007
